id,title,manufacturer,price,description
b0000aka82,studyworks! teaching pro: middle school math & science (win/mac),global software publishing,29.99,studyworks teaching pro middle school math & science is the right mix of learning methods and math applications for build top-notch test-tak
b00002s8if,trudy's time and place house ages 3-6,ibm,0,
b0009ren8e,personal image manager,smith micro software,29.99,personal image manager improves digital photo management. whether you want to email add captions or convert formats you have a simple tool t
b000a3x6te,stomp inc drive washer,stomp inc,0,drive washer keeps you from being vulnerable to the dangers of identity theft. even if you are simply reassigning your computer to another u
b000bnb72g,movies on psp,x-oom,0,x-zoom movies on psp is the first commercial video & dvd software for the sony psp. it enables you to quickly convert your dvds or movie fil
b000ap422c,kids power fun for kids,topics entertainment,19.99,kids power: fun for kids brnigs together great cartoon characters with fun educational activities. features four great games starring disney
b000098xjo,custom landdesigner 3d design 7.0,sierra on-line,0,
b000314vvu,freddi fish 2: the haunted schoolhouse,humongous entertainment,29.95,children - ages 3 to 8 everyone knows theres no such thing as ghosts.. so who is haunting the schoolhouse taking the toys and practically sc
b000100eg4,netgear vpn01l vpn client software,netgear,89.99,netgear's prosafe vpn client software delivers the ideal solution with robust encryption and broad support across multiple connection types 
b000fa5ens,mom standard ops mgmt lic 2005 english mlp 5 oml,microsoft,0,mom standard ops mgmt lic 2005 eng mlp 5 oml
b0002e3g6o,eastwest bsendorfer 290 grand piano virtual instrument,eastwest,199.95,the 5-star awarded pmi bdorfer 290 is simply the best sampled bdorfer 290 grand piano on the planet - and now it's available as a 24-bit plu
b000ju9ndq,diskeepeer 2007 admin upgrade sngl lic pack,diskeeper corporation,200,diskeepeer 2007 admin upg sngl lic pack
b000nqq29y,monarch v9.0 1u .,datawatch,699,monarch v9.0 1u -
b0007iqg2q,midway arcade treasures (jewel case),encore software,9.99,midway arcade treasures (win 98 me 2000 xp)
b000099sin,snap! 10 000 drink recipies (jewel case),topics entertainment,4.99,trying to find the perfect after dinner drink? not sure what you can mix with the liquor you already have? snap! ô 10 000 drink recipes is t
b000hj9r3u,mac os x server v10.4.7 10-client,apple,499,mac os x server offers more than 200 new features for the advanced server user. it has everything you need to provide standards-based workgr
b0007yll20,epson storyteller photo book creator - 8 x 10 (20 pages),epson,29.99,life is more than a snapshot it's a story. and now you can share yours in a beautiful glossy photo book. storyteller photo book creator from
b0000afwwl,adobe acrobat capture 3.0 ( 22101258 ),adobe,299.99,convert large volumes of paper documents to searchable adobe pdf adobe(r) acrobat(r) capture(r) 3.0 software is a professional production to
b0000ak7c5,age of mythology (mac),macsoft,19.99,in age of mythology you'll take charge in an era where military strength and the favor of the gods was all-important! gorgeous in-game cinem
b000162zp6,emedia intermediate guitar method os x,emedia,59.99,learn to play lead guitar and more! everything you need to take your playing beyond basic chords and melodies. new techniques are demonstrat
b000i84dsy,ca internet security suite 2007 - 3 user,computer associates,69.95,internet security 2007 gives you comprehensive protection against the many online dangers you can be exposed to while enjoying what the inte
b000gaoo7y,kaplan sat/act/psat express,topics entertainment,9.99,kaplan has helped more than 3 million students score higher on admission exams and - get into the nation's top colleges and universities. ou
b00008ajjc,passwords plus 1.0,dataviz,29.99,passwords plus stores all your personal information safely and securely in one spot. keep your pins passwords credit card numbers bank accou
b000jj4fbw,emedia essential bass guitar,emedia,19.95,emedia essential rock guitar's 45 easy-to-follow lessons range from basics such as stringing and tuning your electric guitar to playing powe
b000kmcf0g,scratches: directors cut,got game,19.99,scratches is a terrifying story where a story from the past emerges to haunt the present. you control famed horror writer michael arthate as
b000ozibhk,x3: reunion - virtual programming ltd.,csdc,39.95,x3: the reunion is a sequel to x3: the threat an award-winning sci-fi action and strategy game. you'll return to the x3 universe as the argo
b000h774k0,write brothers dramatica pro win/mac,write brothers,269.99,dramatica pro 4 (win 95 98 me nt 2000 xp/mac 10.2 or higher)
b000162zq0,emedia bass method win/mac,emedia,59.99,emedia bass method os x (win 95 98 me nt 2000 xp/mac 7.1-9.x(classic) x)
b0006g2wke,microsoft licenses project svr sa govt (h2200301),microsoft licenses,3601.4,microsoft project server win32 english software assurance open license program local government
b000qs8n64,total training for adobe creative suite 3: design premium bundle,total training,299.99,
b000cpshfs,everquest: titanium,sony creative software,19.95,includes the original everquest and ten expansion packs. everquest - depths of darkhollow lets you see norrath through the eyes of some of i
b000ehq008,emc retrospect 7.5 professional for windows upgrade,dantz,0,upg emc retrospect 7.5 cromprofessional windows only
b000f7ixx4,iriscard pro business card scanner,iris,199.99,the iriscard pro business card scanner is the most popular multilingual business card scanning solution and is ideal for individuals and bot
b000brgbpa,computrace lojack for laptops - 4 year subscription,absolute software,119.99,with computrace lojack for laptops you'll be able to track a stolen laptop anywhere! every 53 seconds a laptop is stolen - this recovery ser
b0000c6fjm,microsoft office frontpage 2003 ( academic version ) ( windows ),microsoft,159.98,frontpage 2003 delivers the features flexibility and functionality to help you build superior web sites. it includes the professional design
b00005yx8i,warlords 3 (jewel case),red orb entertainment,0,
b000hkgj8k,autocad 2007 courseware customizing the interface,autodesk psg,47.95,autocad 2007 courseware customizing the interface
b000040p1z,sonicwall internet upgrade (50-node),sonicwall,0,sonicwall
b0002719lk,tournament poker 2005,eagle games,20.99,tournament poker: no limit texas hold'em lets you practice your tournament skills and experience what the pros do. whether you play at a fri
b00006h38u,cold zero: no mercy,encore software,19.99,you are an unpredictable and vicious man who has turned to a life of violence after being blackmailed by the italian mafia. over 100 charact
b000lu8a10,listen for ipod - magnetic time,sos aggregation company,39.99,
b00006akwh,textbridge pro 11 5u license xp,nuance communications inc.,0,textbridge pro 11 is the simple and fast way to convert paper into editable electronic documents saving time and increasing productivity. ne
b0006oei8u,atari arcade classics (mac),macsoft,19.99,atari arcade classics offers faithful reproductions down to the last detail -- all the sounds action and gameplay that made these games clas
b000hysu2y,myinvoices & estimates deluxe,avanquest software,39.95,myinvoices and estimates deluxe makes ite asier to handle one of the most important elements of your business: the invoices and estimates. g
b000f613x2,my sim aquarium,viva media,19.99,my sim aquarium has all the simulated fish and fish tank accessories you need to turn your monitor into a gorgeous fish tank.
b000p9cr34,scrabble,destineer,24.99,play against one of eight challenging computer opponents or take on your friends and family in four different game modes. play the way you r
b000j4k804,instant immersion spanish (audio book),topics entertainment,0,instant immersion spanish (audio book) (audio book)
b00008mopv,cisco security server agent for windows and solaris - license - 100 agents - win solaris ( csa-b100-srvr-k9 ),cisco systems - enterprise,0,the next-generation cisco security agent network security software provides threat protection for server and desktop computing systems also 
b000nwsclo,photoshop elements 5 and premiere elements 3 bundle win minibox (29180248),adobe,242.62,- marketing information: photoshop elements 5.0 plus premiere elements 3.0 software combines two powerful yet easy-to-use products to delive
b000ek6ekq,buzby breakin' all the rules hermie and friends,digital praise,19.99,join hermie wormie and their friends in an interactive adventure based on the hit video buzby the misbehaving bee. through game play and vid
b0008ews9o,instant immersion french 2.0,topics entertainment,29.99,instant immersion version 2.0 moves you from a beginner to an intermediate speaker with a 5 cd-rom course of study. including talk now! talk
b0002agbtc,hp digital sending secure - license - 50 users - std,hewlett packard,0,capture process and route stacks of paper-based documents into digital formats quickly simply and reliably. extend the sending capability of
b0009y6f0g,instant play electric guitar deluxe,topics entertainment,39.99,with play electric guitar beginners who want a fast flexible computer-based teaching tool have the in-depth instruction they need. this tota
b000g017kg,foreign policy & reform (win/mac) (jewel case),fogware publishing,9.99,
b0006g31i6,microsoft licenses win svr 2003 ext conn lic (r3900292),microsoft licenses,3371.85,manufacturer warranty:andnbsp;andnbsp;90 days
b000i2qubi,quickbooks pos: pro multistore 6.0,intuit inc.,1399.95,quickbooks point-of-sale pro multi-store 6.0 retail-management software turns any pc into a cash register that does what no ordinary cash re
b000qfqa1w,encyclopedia britannica deluxe 2008 win/mac,avanquest,29.95,designed for adults and students alike encyclopaedia britannica deluxe is a comprehensive reference resource that gives you up-to-date in-de
b000056b62,cook'n vegetarian,dvo enterprises,19.99,featuring recipes for tasty and healthful meatless dishes made with fresh ingredients the cook'n vegetarian cd also includes a selection of 
b000fbk6gc,hidden expedition: titanic,activision,19.99,hidden expedition: titanic immerses you in an epic expedition. on april 14 1912 the steamship rms titanic struck an iceberg. within hours it
b0007d8es0,crystal reports xi professional edition,business objects,495,the world standard for report creation just got better. crystal reports xi professional is an intuitive enterprise report designer that help
b0006z16qq,sierra hallmark card studio special edition ( windows ),nova development,0,hallmark card studio special edition makes it easy to capture life's special moments and commemorate any event. create beautiful photo frame
b0002w37x8,crusader kings,atari,19.99,crusader kings is a unique historical role-player that puts you into a feudal society fraught with dangers. travel to medieval europe betwee
b0006g31ao,microsoft licenses exch. srvr extrn conn sa eng (39400416),microsoft licenses,42166.22,manufacturer warranty:andnbsp;andnbsp;90 days
b00005atxo,watchguard serverlock manager (100 servers),watchguard technologies inc,14995,watchguard serverlock manager controls the integrity of servers across your enterprise. with a simple and elegant user interface watchguard 
b000eavbdq,master server-upg,novastor corporation,0,master server-upg
b000ozhfsq,tlc dr. seuss reading learning system 2008,encore,19.99,tlc dr. seuss reading learning system builds important early reading skills such as word recognition vocabulary and reading comprehension th
b000083k83,compaq comp. rapid deployment pk-flexible lic kit ( 302127-b21 ),compaq computer,0,
b0002bqqxw,oxford spanish dictionary,oxford university press,19.95,contains over 170 000 words and phrases and 240 000 translations and describes spanish as it is used throughout the whole spanish-speaking w
b000e6q3em,pantone reference library,pantone inc.,1623.06,model- gps206 vendor- pantone features- pantone reference library pantone reference library is the perfect tool for design firms print shops
b0009hmx36,procurve vpn client software unlimited client licenses,hewlett packard,0,procurve vpn client unlimited license
b00007bgty,oxford spanish dictionary,tri synergy,19.99,the oxford pop-up spanish/english dictionary help you in your journey through the spanish-speaking world by presenting you with the translat
b0006g2zce,microsoft licenses sps extrnlconnnonemplyenglands c (h3200034),microsoft licenses,101515.55,microsoft sps external connector non emply english license and software assurance pack open license program level c 400 points
b000jx3qxq,microspot interiors,microspot ltd.,99.95,
b000ehpzyu,upgrade emc retrospect 7.5 multi server windows only,dantz,0,upg emc retrospect 7.5 multi cromserver windows only
b000al7fu2,snap enterprise data replicator advanced license for 10000 series,adaptec,0,the trend toward distributed enterprises whether they are branch offices remote development centers or offshore entities has lead to a marke
b00005lzly,employee appraiser 5.0 deluxe mailer,global marketing,394.6,- marketing information: get the complete managerandquot;s toolkit with employee appraiser deluxe 5.0. it makes writing performance reviews 
b000bta4k6,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980,model- ms-cd08393wi vendor- microsoft corporation features- microsoft dynamics crm 3.0 pro upgrade 20 license pk user cal microsoft crm 3.0 
b000m06st0,upgrade robohelp server 6 win ue 1u,adobe,3609.98,adobe commercial robohelp office server 6
b000300hhi,netmanage rumba unix-hp edition - ( v. 7.3 ) - upgrade license ( 902453-006 ),netmanage,0,
b0000swyw4,sonicwall gms standard edition 10 node license,sonicwall,0,today enterprises and service providers face increasing security challenges in their distributed networks from security and virus attacks to
b000ndibtg,adobe creative suite cs3 design premium upsell [mac],adobe,1599,note: this is the upsell version of adobe creative suite 3 design premium. adobe creative suite 3 design premium upsell software is the desi
b0001g6u98,retrospect 6.0 desktop mac upgrade,dantz,59.99,retrospect desktop v6.x upgrade for macintosh. contains uac code installs on a desktop can backup 2 other desktops
b000hcmtly,exceed 2007 with 1yr mnt 1u,hummingbird communications,650,exceed 2007 w/1yr mnt 1u
b000fbgate,ca brightstor arcserve backup r11.1 for netware tape library option - service pack,computer associates,0,arcserve bkup r11.1 nw tlo sp1- prod only
b0000y7wc0,adobe acrobat distiller svr v6-cd linux u/u ( 42050142 ),adobe systems,0,adobe acrobat distiller server 6.0 software enables workgroups to convert adobe postscript files to compact reliable and more secure adobe p
b000e6g7x4,backup exec netware open file v9.2 e/g full package product,veritas,695,backup exec netware open file v9.2 e/g full package product
b0002nt34o,microsoft virtual pc for mac 7.0 with windows 2000,microsoft,249.99,expand the power of your mac with microsoft virtual pc for mac version 7 the application that makes it possible for you to access pc-only so
b000cc09uw,microsoft mappoint 2006 standard edition,microsoft,299,microsoft mappoint 2006 helps business users to visualize analyze and communicate data. it includes updated geographic and demographic data 
b0001gu7g0,red hat entprse linux as 3 amd ( rhf0211us ),red hat software,0,red hat's support services provide flexible and cost-effective coverage for your operating infrastructure. red hat offers multiple options f
b00073fl7w,ca arcserve bkup r11.1/nw stor area netw (san) opt prod only,computer associates,0,arcserve bkup r11.1/nw stor area netw (san) opt prod only
b000192rq0,enterasys vpn & firewall code upgrade ( xsr-18xx-vpn-fw ),cabletron systems,1928.07,- marketing information: vpn feature set: when combined with the xsrandquot;s powerful ip routing the integrated vpn dramatically increases 
b00004s4xy,suretrak project manager 3.0,primavera systems,499,communicate with professional-quality reports and graphics. suretrak project manager combines ease of use power and affordability. with sure
b000b86a9q,vrs4.0 plus scsi workgroup scanning 5 & 6,fujitsu imaging,0,vrs 4.1 professional for scsi wkgrp scanners
b000jbxxtk,pdf create! 4.0 retail,nuance communications inc.,49.99,pdf create! 4.0 us en retail
b000hvxix8,upgrade 3d for exceed 2007 1u,hummingbird communications,0,upg 3d for exceed 2007 1u
b0000cc778,cisco 3745 ser ios ent ( cd374-esk9= ),cisco systems - enterprise,2814.33,- marketing information: cisco ios software is the worldandquot;s leading network infrastructure software delivering a seamless integration 
b000jywfq4,softgrid cal for ts 4.1 english mlp 20 user cal,microsoft,0,softgrid cal for ts 4.1 english mlp 20 user
b000042olp,details 3.0,aec software,304.99,- marketing information: make your project information work for you! the who what and when of your projects are too important to leave to ch
b000bvbmci,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 - complete package - 1 user - cd ( mini-box ) - win - canadian french ( 29180162 ),adobe systems inc,0,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 software combines two powerful intuitive products in one affordable package. e
b000j588ge,photo objects 150 000 for macintosh,nova development,49.99,add a unique professional look to any project with photo objects 150 000. we've included 150 000 high-resolution royalty-free photos on 2 dv
b000mtdwa4,insight pwr mgr no media 1ltu,hewlett packard,0,information technology professionals rely on hp quality to ensure maximum productivity. as the power of applications processors memory adapt
b00006lhf6,fontware pro+,informatics,0,wasp fontware is a powerful bar code utility that seamlessly integrates truetype fonts with your favorite business software and database app
b000s8jxpc,gods: lands of infinity - special edition,strategy first,29.99,the ancient world of bellarion struggled in the never ending war of gods. the conflict began when xarax ruler of the gods was murdered. each
b0009zhg8k,icopydvds2 ultra by digital wunders,global marketing partners,89.99,
b000e5n0mg,hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99,20 sheet count / 5 1/2 x 8 1/2
b00079pmwa,sea scene: living underwater worlds (jewel case),valusoft,9.99,bring the serenity of the ocean to your pc! product information enjoy the beauty and serenity of a virtual aquarium so real you will think y
b0000dzfvd,hp storageworks secure path for windows workgroup edition - ( v. 4.0c ) - license ( 213076-b26 ),hewlett packard,0,license - - 1 user(s) - standard - pc
b000i2jd0s,equilibrium debabelizer pro 6.0 - 1 user,equilibrium,599.99,debabelizer pro 6 provides you with the image editing tools for better image processing. its optimization tools provide full palette control
b0009xndso,prosoft tunetech for ipod (mac),prosoft engineering,74.99,tunetech for ipod by prosoft
b00099qrok,autodesk discreet combustion 4 ( windows ),autodesk,0,combustion 4 offers an easy-to-use interface non-destructive workflow and extensive toolset designed to help you bring your imagination to l
b000068xl9,reel deal casino quest,phantom efx,19.99,traditional slots bonus game slots and multi-playvideo poker!product information reel deal casino quest brings the high-paced fastaction of 
b000bi7uqs,espro + interpretair s/w,fluke networks,5750.6,- marketing information: interpretair provides wireless lan installers and network professionals with the vision they need to plan deploy ve
b0006g2wr2,microsoft licenses word mac 10.0 eng govt (d4800369),microsoft licenses,349.83,model- d4800369 vendor- microsoft corporation features- word mac 10.0 eng govt microsoft word mac 10.0 english open license program local go
b000fbgaqc,ca arcserve bkup r11.5 win agent mac os x - upgrade prod only,computer associates,0,arcserve bkup r11.5 win agent mac os x - upg-v prod only
b00008ava7,netmanage rumba web to host as400 ed v4.2 ( 910620-000 ),netmanage,0,rumba web-to-host lets you cost-effectively leverage important assets on your legacy host systems literally within minutes. through a single
b000hvtk9e,1pk internet sec ste 2007 oem,ca - oem,0,1pk internet sec ste 2007 oem consumer bndl w/hw 3u
b000jjrwas,diskeeper 2007 professional single lic pack,diskeeper corporation,79.21,diskeeper 2007 is a defrag solution like no other. maintain your computers at peak performance without facing defragmenting problems and ext
b000jx29wa,instant immersion japanese (audio book),topics entertainment,0,instant immersion japanese (audio book) (audio book)
b00063blg8,world of warcraft 60 day pre-paid time card,blizzard entertainment,29.99,the world of warcraft 60 day time card lets gamers enter the world of azeroth for 60 days of real-time combat in an incredible fantasy setti
b0002bqrq8,smart steps 4th grade,dorling kindersley multimedia (dk),29.95,a complete learning system for your fourth grade child! enroll your fourth grader in the program with more of everything: smart steps. devel
b000ecoami,ca arcserve bkup r11.5 win dro sp1 prod only,computer associates,0,server disasters can and do happen: fire flood theft fraud virus or human error to name a few. the disaster recovery option simplifies and s
b000067vpa,textbridge pro 11,nuance communications inc.,79.99,textbridge pro 11 is the simple and fast way to convert paper into editable electronic documents saving time and increasing productivity. ne
b0006b4zr2,emedia rock guitar method,emedia,39.99,rock guitar method shows you how to rock out by teaching you the classics. pick up an ax and start covering your favorite rock blues country
b000aly75i,home bartending - 101 shooters,arc media inc.,19.95,101 shooters includes cocktails snacks and party ideas to make your next event a success. learn what liquor goes in which type of glass how 
b000a7mfn8,jumpstart reading with karaoke,knowledge adventure,29.99,in jumpstart reading with karaoke is a fun exciting and interactive tool for teaching children how to read. they'll love reading along with 
b0007d8eq2,crystal reports xi developer,business objects,595,crystal reports xi allows you to access format and deliver information to drive better decisionmaking with the flexibility and power necessa
b000hlt57q,iremember digital scrapbooking 2.0,intriguing development,39.95,iremember digital scrapbook makes it easier than ever to create gorgeous scrapbooks on your mac! finish a page in only minutes - just add a 
b000fepvcs,learn2 training for microsoft powerpoint,topics entertainment - software (consignment),9.99,learn2 training for microsoft powerpoint (win 95 98 me nt 2000 xp)
b0000y7wck,adobe acrobat distiller svr v6-cd sun 100u ( 42050106 ),adobe,9104.19,- marketing information: - adobe acrobat distiller server 6.0 software enables workgroups to convert adobe postscript files to compact relia
b000gv8u32,tomb raider: legend,eidos interactive,19.99,tomb raider: legend brings back the gaming world's sexiest and most intrepid adventurer. follow lara down a path of discovery as she travels
b000btas3y,upgrade delphi 2006 pro named fr delphi v3-2005 pro - cd,borland international,0,delphi developers know the value of small agile teams. for years they have outperformed larger development organizations through skill exper
b0001o04tw,isi researchsoft reference manager 11 - single user,isi researchsoft,299.99,organize your data using standard windows tools in reference manager. perform key operations across multiple databases. run spell checker an
b00004swll,high availability requires two livesecurity firesboxes,watchguard technologies inc,1995,the optional high availability active/passive (a/p) software allows you to install a second same model standby firebox to ensure that your w
b000qv5xqy,buku karkuro,topware interactive,19.99,if you enjoy 'sudoku' then you will go crazy for 'buku kakuro'! generate millions of logic games with the click of your mouse and decipher p
b000bw7kxw,backup exec 10d win adv disk v10.1 lic only (e180518),symantec corporation.,983.34,general information - manufacturer: symantec corporation. - manufacturer part number: e180518 - marketing information: enables faster backup
b000b5ss76,procurve manager plus upgrade-,hewlett packard,0,upg procurve manager plus
b000067fdw,world of warcraft,blizzard entertainment,19.99,for the first time players can experience the lands of warcraft's azeroth from a new in-depth perspective. as heroes they explore familiar b
b000h5ex7e,world of warcraft pc,vivendi,35.7,world of warcraft pc
b00008pbus,sonicwall global vpn client - license ( 01-ssc-5310 ),sonic systems inc.,0,license - - 1 user(s) - standard - pc handheld
b000fqvxge,scansoft paperport professional 11 - 5 user license,nuance communications inc.,949.99,- marketing information: paperport professional 11 offers all the great features that have made paperport the 1 desktop document management 
b0007q7mg2,netmanage upg rumba unix-hp edition level ( 902453-007-c ),netmanage,0,upg rumba unix-hp edition level a 1-4 units
b00006hrjw,upg serverlock for solaris gold,watchguard technologies inc,0,watchguard technologies is pleased to offer you the gold livesecurity program. this premium program is designed to meet the aggressive suppo
b000bvxob0,backup exec netware remote agt win/netware svr v9.2 e/g,veritas,295,general information - manufacturer: symantec corporation. - manufacturer part number: e17887d - marketing information: backup exec 9.2 for n
